2020-04-15 22:33:05,576 - INFO - ####################################
2020-04-15 22:33:05,576 - INFO - ############Loading Model###########
2020-04-15 22:33:05,576 - INFO - ####################################
2020-04-16 15:39:54,651 - INFO - Env 40, Goal (011.5, -03.6), Episode 00000, setp 105, Reward -24.4, Crashed,
2020-04-16 15:39:54,652 - INFO - Env 43, Goal (016.3, -04.9), Episode 00000, setp 023, Reward -19.4, Crashed,
2020-04-16 15:39:55,247 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-04-16 15:39:55,247 - INFO - Env 23, Goal (005.5, -05.5), Episode 00001, setp 050, Reward -41.5, Crashed,
2020-04-16 15:39:55,247 - INFO - Env 22, Goal (003.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-04-16 15:39:55,248 - INFO - Env 21, Goal (001.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-04-16 15:39:55,253 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-04-16 15:39:57,071 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00000, setp 166, Reward -26.5, Crashed,
2020-04-16 15:39:57,071 - INFO - Env 01, Goal (-18.0, 009.5), Episode 00000, setp 028, Reward -38.3, Crashed,
2020-04-16 15:39:57,071 - INFO - Env 03, Goal (-07.0, 009.5), Episode 00000, setp 043, Reward -36.6, Crashed,
2020-04-16 15:39:57,071 - INFO - Env 04, Goal (-12.5, 004.0), Episode 00000, setp 035, Reward -45.4, Crashed,
2020-04-16 15:39:57,071 - INFO - Env 05, Goal (-12.5, 017.0), Episode 00000, setp 048, Reward -39.6, Crashed,
2020-04-16 15:39:57,071 - INFO - Env 02, Goal (-07.0, 011.5), Episode 00000, setp 020, Reward -40.9, Crashed,
2020-04-16 15:39:57,805 - INFO - Env 08, Goal (003.0, 003.0), Episode 00002, setp 047, Reward -42.8, Crashed,
2020-04-16 15:39:57,806 - INFO - Env 09, Goal (005.0, 003.0), Episode 00002, setp 039, Reward -43.1, Crashed,
2020-04-16 15:39:57,806 - INFO - Env 07, Goal (000.0, 003.0), Episode 00002, setp 001, Reward -47.5, Crashed,
2020-04-16 15:39:57,830 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00002, setp 038, Reward -44.6, Crashed,
2020-04-16 15:39:58,715 - INFO - Env 10, Goal (010.0, 010.0), Episode 00002, setp 032, Reward -25.4, Crashed,
2020-04-16 15:39:58,715 - INFO - Env 11, Goal (012.0, 010.0), Episode 00002, setp 032, Reward -25.4, Crashed,
2020-04-16 15:39:58,716 - INFO - Env 13, Goal (016.0, 010.0), Episode 00002, setp 044, Reward -23.3, Crashed,
2020-04-16 15:39:58,716 - INFO - Env 14, Goal (018.0, 010.0), Episode 00002, setp 037, Reward -23.2, Crashed,
2020-04-16 15:39:58,717 - INFO - Env 12, Goal (014.0, 010.0), Episode 00002, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:02,848 - INFO - Env 32, Goal (-13.8, -04.3), Episode 00000, setp 201, Reward -39.8, Time out,
2020-04-16 15:40:02,848 - INFO - Env 24, Goal (-18.0, -10.0), Episode 00000, setp 201, Reward -27.5, Time out,
2020-04-16 15:40:02,849 - INFO - Env 25, Goal (-16.9, -13.5), Episode 00000, setp 045, Reward -37.5, Crashed,
2020-04-16 15:40:02,849 - INFO - Env 33, Goal (-16.9, -06.5), Episode 00000, setp 201, Reward -19.5, Time out,
