2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:09:32,428 - INFO - ############Loading Model###########
2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ############Loading Model###########
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:11:04,034 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00047, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,034 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00048, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,035 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00049, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,035 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00050, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,036 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00051, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,036 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00052, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,037 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00053, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,037 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00054, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,038 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00055, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,038 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00056, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,039 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00057, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,039 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00058, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,040 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00059, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,040 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00060, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,041 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00061, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,041 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00062, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,042 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00063, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,042 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00064, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,043 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00065, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,043 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00066, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,044 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00067, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,044 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00068, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,045 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00069, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,045 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00070, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,046 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00071, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,046 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00072, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,047 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00073, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,047 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00074, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,048 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00075, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,048 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00076, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,049 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00077, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,049 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00078, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,050 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00079, setp 000, Reward 0.0  , 1,
